OpenTime,Open,High,Low,Close,BaseVolume,CloseTime,QuoteVolume,TradeCount,TakerBuyBaseVolume,TakerBuyQuoteVolume
1641832080,41723.88000000,41733.85000000,41665.91000000,41665.91000000,45.58278000,1641832139,1900949.33116500,1158,19.31843000,805642.66134460
1641832140,41718.06000000,41735.50000000,41690.27000000,41690.27000000,33.63367000,1641832199,1402989.88221170,1015,19.18531000,800320.80140070
1641832200,41725.56000000,41725.56000000,41549.26000000,41549.26000000,77.44256000,1641832259,3223298.43376900,1755,35.65990000,1484270.56512070
1641832260,41616.30000000,41632.62000000,41558.29000000,41558.29000000,35.56747000,1641832319,1479543.38145220,1032,19.61164000,815804.22552330
1641832320,41589.29000000,41639.00000000,41588.00000000,41588.00000000,40.19903000,1641832379,1672910.02430040,1047,23.65756000,984527.49292880
1641832380,41630.46000000,41695.24000000,41605.03000000,41605.03000000,93.93376000,1641832439,3911758.18094530,1308,43.36924000,1806392.23450380
1641832440,41629.74000000,41659.81000000,41578.88000000,41578.88000000,162.21291000,1641832499,6749442.10146890,1453,35.00407000,1456792.64775870
1641832500,41589.23000000,41650.00000000,41583.84000000,41583.84000000,52.97808000,1641832559,2204673.14215120,1003,35.24559000,1466694.44409190
1641832560,41648.66000000,41686.00000000,41584.51000000,41584.51000000,47.79999000,1641832619,1990850.98683960,980,28.44457000,1184697.59071100
1641832620,41588.64000000,41670.21000000,41586.16000000,41586.16000000,44.98841000,1641832679,1872591.09458650,935,34.67916000,1443459.55114660
1641832680,41661.49000000,41771.04000000,41648.10000000,41648.10000000,63.90122000,1641832739,2665517.66831530,1422,40.95592000,1708591.58428140
1641832740,41722.92000000,41888.02000000,41722.91000000,41722.91000000,108.93896000,1641832799,4557179.78259790,2745,68.95407000,2884417.38941220
1641832800,41833.66000000,41888.00000000,41791.79000000,41791.79000000,46.96339000,1641832859,1964704.48241750,1546,26.56352000,1111291.43375280
1641832860,41878.02000000,41985.99000000,41846.00000000,41846.00000000,100.53112000,1641832919,4215107.33383790,2922,61.13284000,2563097.47871570
1641832920,41910.29000000,41916.82000000,41798.80000000,41798.80000000,89.50444000,1641832979,3745526.88124390,1650,42.57785000,1781737.40870690
1641832980,41800.00000000,41819.00000000,41678.16000000,41678.16000000,147.33038000,1641833039,6147938.05393200,2281,85.67151000,3574161.31530800
1641833040,41702.28000000,41748.19000000,41648.37000000,41648.37000000,40.71643000,1641833099,1697418.11486580,1257,16.31200000,680096.88553050
1641833100,41698.46000000,41777.55000000,41678.31000000,41678.31000000,54.73335000,1641833159,2284460.27373770,1051,32.23214000,1345443.39870850
1641833160,41751.69000000,41760.00000000,41702.99000000,41702.99000000,44.30086000,1641833219,1848788.91550090,889,27.54544000,1149427.00641160
1641833220,41753.02000000,41753.02000000,41687.26000000,41687.26000000,33.64066000,1641833279,1403279.58329250,768,17.04642000,711110.64894790
1641833280,41704.16000000,41706.14000000,41642.64000000,41642.64000000,33.87985000,1641833339,1411755.74363640,920,10.96594000,456955.42496160
1641833340,41665.67000000,41690.93000000,41605.27000000,41605.27000000,48.53705000,1641833399,2021646.92491050,1179,20.13556000,838722.62401240
1641833400,41664.06000000,41718.94000000,41624.01000000,41624.01000000,36.46361000,1641833459,1519387.87990430,912,14.12661000,588649.78090040
1641833460,41709.92000000,41750.00000000,41658.81000000,41658.81000000,93.41904000,1641833519,3897983.63889070,1047,30.75894000,1283388.25893530
1641833520,41716.48000000,41762.66000000,41705.59000000,41705.59000000,32.94387000,1641833579,1375010.33056920,616,15.13094000,631575.23806560
1641833580,41757.75000000,41840.13000000,41729.74000000,41729.74000000,52.05163000,1641833639,2174473.19496990,1015,34.20284000,1428899.99661650
1641833640,41791.70000000,41810.63000000,41732.95000000,41732.95000000,17.33168000,1641833699,723789.41228190,616,6.44343000,269028.92713680
